State,Ws Property Id,Latitude (generated),Longitude (generated)
TX,W120,31.25,-99.25
TX,W119,31.25,-99.25
TX,W118,31.25,-99.25
TX,W116,31.25,-99.25
TX,W115,31.25,-99.25
TX,W114,31.25,-99.25
TX,W112,31.25,-99.25
TX,W111,31.25,-99.25
TX,W110,31.25,-99.25
TX,W109,31.25,-99.25
TX,W108,31.25,-99.25
TX,W107,31.25,-99.25
TX,W103,31.25,-99.25
NY,W54,43,-75.49
NY,W50,43,-75.49
NY,W47,43,-75.49
NY,W46,43,-75.49
NE,W179,41.5,-99.75
IL,W28,40,-89.25
FL,W168,28.42,-81.55
FL,W164,28.42,-81.55
FL,W163,28.42,-81.55
FL,W160,28.42,-81.55
FL,W159,28.42,-81.55
FL,W157,28.42,-81.55
FL,W156,28.42,-81.55
FL,W155,28.42,-81.55
FL,W152,28.42,-81.55
CO,W144,39,-105.5
CO,W143,39,-105.5
CO,W130,39,-105.5
CA,W199,37.25,-119.75
CA,W198,37.25,-119.75
CA,W196,37.25,-119.75
CA,W194,37.25,-119.75
CA,W192,37.25,-119.75
CA,W190,37.25,-119.75
CA,W188,37.25,-119.75
CA,W67,37.25,-119.75
CA,W66,37.25,-119.75
AR,W123,34.75,-92.5
